station_name	wmo_reg	sub_reg	river	station	country	lat	long	area
2591220	2	2910	HIJI-KAWA	OZU	JP	33.5	132.55	984
2591230	2	2910	NAKA GAWA	FURUSHO	JP	33.94	134.62	765
2591800	2	2910	YOSHINO GAWA	IWAZU	JP	34.06	134.2	2810
2591801	2	2910	YOSHINO GAWA	CHUO-BASHI	JP	34.09	134.35	3044
2591802	2	2910	YOSHINO GAWA	IKEDA	JP	34.03	133.84	2073.8
2595300	2	2951	EUPHRATES RIVER	HIT	IQ	33.63	42.82	264100
2595400	2	2951	EUPHRATES RIVER	HINDIYA	IQ	32.72	44.27	274100
2595600	2	2952	TIGRIS RIVER	MOSUL	IQ	36.32	43.15	54900
2595700	2	2952	TIGRIS RIVER	BAGHDAD	IQ	33.3	44.38	134000
2605450	2	2051	NAKDONGGANG	WAEGWAN	KR	36.000278	128.394444	11074.4
2605500	2	2051	NAKDONGGANG	JIN DONG	KR	35.38	128.48	20403
2605510	2	2051	NAKDONGGANG	SAMNANGJIN	KR	35.4	128.85	22916
2617110	2	2171	AMU DARYA	KERKI	TM	37.83	65.25	309000
2646100	2	2461	GANGES RIVER	PAKSEY	BD	24.08	89.03	846900
2646200	2	2461	GANGES RIVER	HARDINGE BRIDGE	BD	24.08	89.03	846300
2651080	2	2511	TISTA RIVER	KAUNIA	BD	25.75	89.5	-999
2651100	2	2511	BRAHMAPUTRA RIVER	BAHADURABAD	BD	25.18	89.67	636130
2677100	2	2771	SOUL RIVER	INDOGYO	KR	37.52	126.97	25046
2677300	2	2771	SOUL RIVER	YEOJU	KR	37.296111	127.6475	11104.4
2678100	2	2780	KIN-KO	GONGJU	KR	36.463611	127.126389	7149.5
2678200	2	2780	YEONGSANGANG	NAJU	KR	35.033333	126.733611	2058.7
2678300	2	2780	SEOMJINGANG	SING JEUN	KR	35.18	127.57	4480
2706100	2	2061	KELULUN HE	UNDURKHAM	MN	47.32	110.67	39400
2707050	2	2071	IDER GOL	TOSONTSENGEL	MN	48.73	98.28	8012
2707100	2	2071	DELGER MORON	MUREN	MN	49.58	100.13	16300
2707200	2	2071	HOYT TAMIR GOL	IKH TAMIR	MN	47.59792	101.24375	2993
2707500	2	2071	SELENGA	CHUTIC	MN	49.37	102.83	92300
2707600	2	2071	ORHON GOL	ORKHON	MN	48.65	103.57	23600
2707700	2	2071	HARAA GOL	BARUN KHARAA	MN	48.92	106.07	9580
2707800	2	2071	TUUL GOL	ULAN-BATOR	MN	47.9	106.92	6300
2707900	2	2071	TERELJ GOL	TERELJ	MN	48.05	107.42	1232
2743100	2	2431	HARHIRAA GOL	TARIALAN	MN	49.77	91.83	738
2744100	2	2441	SAGSAY GOL	BUYANT	MN	48.58125	89.56042	4630
2744200	2	2441	HOVD GOL	ULGI	MN	48.98	89.95	22057
2792500	2	2921	TUYN GOL	BAYANKHONGAR	MN	46.13	100.68	2552
2816203	2	2161	SYR DARYA	BEKABAD	UZ	40.22	69.27	142000
2816550	2	2161	CHIRCHIQ	HODJIKENT	UZ	41.62708	69.94375	10900
2816650	2	2161	SOKH	SARYKANDA	UZ	39.944686	71.109463	2480
2817100	2	2171	AMU DARYA	CHATLY	UZ	42.28	59.7	450000
2817300	2	2171	QASHQADARYO	CHIRAKCHI	UZ	39.03125	66.47708	4550
2817310	2	2171	QASHQADARYO	VARGANZA	UZ	38.83542	67.10208	511
